regime,left,right,length,source,metric,mean,ci95_low,ci95_high
8b_topk,prc,synthid_depth2,1024,outputs/self_bleu_topk/matched_v2/summary.json,tpr,-0.15,-0.22024999999999997,-0.08
8b_topk,prc,synthid_depth2,400,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,0.0010804020100502409,-0.005578517587939704,0.008191582914572839
8b_topk,prc,synthid_depth2,400,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,-0.0009571788413098259,-0.006624685138539048,0.004056675062972285
8b_topk,prc,synthid_depth2,400,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,0.001240981089084942,-0.003978158749302072,0.006648229633543723
8b_topk,prc,synthid_depth2,400,outputs/self_bleu_topk/matched_v2/summary.json,tpr,-0.67,-0.76,-0.58
8b_topk,prc,synthid_depth10,1024,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,0.0007045009784735833,-0.011116193737769085,0.01270083170254403
8b_topk,prc,synthid_depth10,1024,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,-0.0017825661116552339,-0.012657443682664055,0.008776199804113623
8b_topk,prc,synthid_depth10,1024,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,-0.0034631250681246605,-0.009574626110700526,0.0027389641664289422
8b_topk,prc,synthid_depth10,1024,outputs/self_bleu_topk/matched_v2/summary.json,tpr,-0.15,-0.22024999999999997,-0.08
8b_topk,prc,synthid_depth10,400,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,-0.002688442211055286,-0.00864384422110553,0.0031413316582914515
8b_topk,prc,synthid_depth10,400,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,0.0020654911838790934,-0.0024943324937027733,0.006852015113350125
8b_topk,prc,synthid_depth10,400,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,-0.0026851546163108053,-0.00914462857746207,0.003863075933737795
8b_topk,prc,synthid_depth10,400,outputs/self_bleu_topk/matched_v2/summary.json,tpr,-0.67,-0.76,-0.58
8b_topk,prc,synthid_depth30,1024,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,0.002358121330724079,-0.008748287671232865,0.012770303326810171
8b_topk,prc,synthid_depth30,1024,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,0.00021547502448580503,-0.00896204701273261,0.009500979431929487
8b_topk,prc,synthid_depth30,1024,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,-0.013755475424715037,-0.02064800876293087,-0.007171101768716003
8b_topk,prc,synthid_depth30,1024,outputs/self_bleu_topk/matched_v2/summary.json,tpr,-0.15,-0.22024999999999997,-0.08
8b_topk,prc,synthid_depth30,400,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,-0.001733668341708554,-0.008743718592964838,0.005402638190954754
8b_topk,prc,synthid_depth30,400,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,0.0029471032745591952,-0.0024181360201511264,0.007935138539042824
8b_topk,prc,synthid_depth30,400,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,-0.014264232879359816,-0.020806473412352915,-0.0071543044245657396
8b_topk,prc,synthid_depth30,400,outputs/self_bleu_topk/matched_v2/summary.json,tpr,-0.67,-0.76,-0.58
8b_topk,prc,null,1024,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,0.0007240704500978668,-0.009022504892367887,0.010774951076320958
8b_topk,prc,null,1024,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,0.001224289911851134,-0.007161361410381968,0.009599167482859945
8b_topk,prc,null,1024,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,0.0028968563117843403,-0.0015641082491812345,0.00754930456632079
8b_topk,prc,null,400,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,0.005778894472361798,-0.002311557788944714,0.014322864321608024
8b_topk,prc,null,400,outputs/self_bleu_topk/matched_v2/summary.json,repeated_4gram_fraction,-0.0045591939546599436,-0.011587531486146089,0.002040931989924434
8b_topk,prc,null,400,outputs/self_bleu_topk/matched_v2/summary.json,self_bleu,0.004464787968754553,-0.0006759615225620781,0.010205760609561437
8b_topk,synthid_depth2,null,1024,outputs/self_bleu_topk/matched_v2/summary.json,distinct_3,0.0017318982387475779,-0.00786741682974557,0.011076810176125256
