family,paper_ref,construction,generation_model,detector_model,detector,eta,t,block_length,tokens,detected,n_watermarked,tpr_percent,ci_lower_percent,ci_upper_percent
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.1,3,,1664,408,500,81.6,77.96708962064596,84.75105206218394
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.1,3,,3072,455,500,91.0,88.16905887106667,93.20574521108605
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.15,3,,1648,308,500,61.6,57.26388276307123,65.75923253822077
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.15,3,,3160,435,500,87.0,83.7678638423086,89.66793496353654
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.15,3,,4672,450,500,90.0,87.05780903680599,92.33224372626984
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.15,3,,6144,465,500,93.0,90.42028101480832,94.92402570549821
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.15,3,,1648,247,500,49.4,45.039013091903215,53.770136116650654
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.15,3,,3160,401,500,80.2,76.48260209304159,83.45688774308066
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.15,3,,4672,429,500,85.8,82.46703326752247,88.5870639554304
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Entropy-weighted,0.15,3,,6144,436,500,87.2,83.98543146918416,89.84731760047634
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.2,3,,3136,295,500,59.0,54.63626881245969,63.22649305923236
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.2,3,,7496,433,500,86.6,83.33339846536646,89.30849981284793
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.2,3,,11856,450,500,90.0,87.05780903680599,92.33224372626984
cross_model_detection,tab:app-mismatch,online_causal_prc_v1,Qwen3-8B-Base,Qwen3-8B-Base,Posterior mean,0.2,3,,14336,452,500,90.4,87.5013037572485,92.6826495334581
